sample,field,id,z,z_type,logM,logM_elo,logM_ehi,av,av_code,av_fast,logssfr,logage_lw,logage_fit,uv,vj,quiescent_uvj,re_arcsec,re_kpc,band,lam_rest_A,re_5000_kpc,q,n,n_err,flag,primary,re_limit
LEGA-C,COSMOS,30968,0.6708,spec,10.908,0.0499999999999989,0.0400000000000009,0.901,MAGPHYS (de Graaff+21),0.8,-10.47,0.5120000000000005,0.5120000000000005,1.84633336930762,1.5324887699357026,False,0.8389,5.891173144222025,F814W,4871.91764424228,5.853077445043346,0.4126,1.1623,0.1999,0.0,1.0,0.0
LEGA-C,COSMOS,31140,0.7104,spec,11.142,0.1199999999999992,0.0700000000000002,0.816,MAGPHYS (de Graaff+21),1.2,-9.975,0.2919999999999998,0.2919999999999998,1.4769686108522238,1.2732957923908028,False,1.2744,9.16013126647778,F814W,4759.1206735266605,9.047755904032106,0.6784,0.6375,0.1096,0.0,1.0,0.0
LEGA-C,COSMOS,31873,0.8931,spec,11.554,0.0500000000000007,0.0199999999999995,0.478,MAGPHYS (de Graaff+21),0.4,-11.52,0.4320000000000004,0.4320000000000004,1.9823607166520008,1.1479853942158482,True,0.9527,7.406105819601847,F814W,4299.825682742591,7.13198012589766,0.7763,3.8943,0.6698,0.0,1.0,0.0
LEGA-C,COSMOS,32251,0.6226,spec,11.02,0.0399999999999991,0.0199999999999995,0.199,MAGPHYS (de Graaff+21),0.7,-10.87,0.6370000000000005,0.6370000000000005,1.7970129800736645,1.4006576206399766,False,1.5749,10.70807304392719,F814W,5016.6399605571305,10.71697104259231,0.5536,3.5787,0.6155,0.0,1.0,0.0
LEGA-C,COSMOS,32349,0.6053,spec,10.861,0.08,0.0599999999999987,0.529,MAGPHYS (de Graaff+21),0.8,-10.22,0.3870000000000004,0.3870000000000004,1.635375932838887,1.2812105648748435,False,0.7463,5.009688521158218,F814W,5070.703295334206,5.027305450666107,0.5966,2.5479,0.4382,0.0,1.0,0.0
LEGA-C,COSMOS,32382,0.9732,spec,10.992,0.0,0.25,0.347,MAGPHYS (de Graaff+21),0.1,-11.32,0.3620000000000001,0.3620000000000001,1.842460471592576,0.9850153245383714,True,0.2817,2.241221274937496,F814W,4125.278735049666,2.136021205290792,0.6405,1.8372,0.316,0.0,1.0,0.0
LEGA-C,COSMOS,32559,0.6219,spec,11.287,0.0,0.0,0.23,MAGPHYS (de Graaff+21),0.2,-11.67,0.6270000000000007,0.6270000000000007,2.20832196965052,1.251960669652052,True,0.4917,3.3414827878132334,F814W,5018.80510512362,3.344620213057711,0.7183,5.7021,0.9808,0.0,1.0,0.0
LEGA-C,COSMOS,32673,0.9705,spec,11.25,0.0399999999999991,0.0700000000000002,0.735,MAGPHYS (de Graaff+21),0.3,-10.12,0.3219999999999992,0.3219999999999992,1.5288027499335946,1.17435171164703,False,0.571,4.539754366339943,F814W,4130.931235726973,4.328145432751304,0.8447,5.1014,0.8774,0.0,1.0,0.0
LEGA-C,COSMOS,32673,0.9706,spec,11.25,0.0399999999999991,0.0700000000000002,0.735,MAGPHYS (de Graaff+21),0.3,-10.12,0.3219999999999992,0.3219999999999992,1.5288027499335946,1.17435171164703,False,0.571,4.539871606770033,F814W,4130.721607632193,4.328202296878405,0.8447,5.1014,0.8774,0.0,1.0,0.0
LEGA-C,COSMOS,32736,0.6356,spec,10.568,0.08,0.08,0.572,MAGPHYS (de Graaff+21),1.0,-10.02,0.2870000000000008,0.2870000000000008,1.4113633239778054,1.0207009343881157,False,0.5642,3.871510444610965,F814W,4976.766935681095,3.8670052341970815,0.822,1.3952,0.24,0.0,1.0,0.0
LEGA-C,COSMOS,32934,0.7313,spec,11.424,0.1099999999999994,0.0600000000000005,0.887,MAGPHYS (de Graaff+21),1.0,-10.57,0.4670000000000005,0.4670000000000005,1.8273617902142527,1.4355518463176022,False,1.7671,12.844916681330302,F814W,4701.669265869577,12.648872340013211,0.3817,3.865,0.6648,0.0,1.0,0.0
LEGA-C,COSMOS,33122,0.828,spec,10.882,0.0,0.1699999999999999,0.446,MAGPHYS (de Graaff+21),0.5,-11.37,0.3170000000000001,0.3170000000000001,1.792143570061718,0.982079048488404,True,0.6058,4.600960184923648,F814W,4452.9540481400445,4.469593505854768,0.786,3.6925,0.6351,0.0,1.0,0.0
LEGA-C,COSMOS,35873,0.8945,spec,11.128,0.0600000000000005,0.1099999999999994,0.341,MAGPHYS (de Graaff+21),0.4,-10.32,0.2970000000000006,0.2970000000000006,1.5570877024614784,1.090204548237327,True,0.576,4.479745363030474,F814W,4296.648192135129,4.31313723133024,0.7422,3.7703,0.6485,0.0,1.0,0.0
LEGA-C,COSMOS,35873,0.8944,spec,11.128,0.0600000000000005,0.1099999999999994,0.341,MAGPHYS (de Graaff+21),0.4,-10.32,0.2970000000000006,0.2970000000000006,1.5570877024614784,1.090204548237327,True,0.576,4.479600423344492,F814W,4296.875,4.313054598758651,0.7422,3.7703,0.6485,0.0,1.0,0.0
LEGA-C,COSMOS,35939,0.9347,spec,10.84,0.0,0.0,0.209,MAGPHYS (de Graaff+21),0.5,-11.42,0.5120000000000005,0.5120000000000005,2.003566811691876,1.2397828089194167,True,0.3338,2.6281135289203195,F814W,4207.370651780638,2.51712228196894,0.6843,2.2669,0.3899,0.0,1.0,0.0
